,mae,rmse,mape,r2
EnsembleXG+TF,35.3,51.09,0.44,0.61
EnsembleLIGHT+TF,35.2,50.78,0.42,0.62
EnsembleXG+LIGHT+TF,34.98,49.8,0.45,0.63
EnsembleXG+LIGHT,36.6,51.87,0.53,0.6
Randomforest tunned,45.23,61.08,0.74,0.45
SVM RBF GRID SEARCH,39.4,57.2,0.52,0.52
DeepAR,69.16,99.38,0.9,-0.46
Tensorflow simple LSTM,40.62,59.31,0.5,0.48
Prophet multivariate,39.91,58.6,0.56,0.49
Kneighbors,56.97,78.15,0.85,0.1
SVM RBF,43.59,66.76,0.55,0.34
Lightgbm,36.41,51.55,0.52,0.61
XGBoost,38.77,54.92,0.57,0.55
Randomforest,47.48,65.05,0.84,0.37
Lasso,41.56,58.2,0.65,0.5
BayesianRidge,41.57,58.27,0.65,0.5
Prophet univariate,60.11,91.13,0.82,-0.23
"AutoSARIMAX (1, 0, 1),(0, 0, 0, 6)",53.94,74.65,0.8,0.18
SARIMAX,54.0,74.64,0.8,0.18
"AutoARIMA (1, 0, 1)",49.5,68.4,0.88,0.31
ARIMA,49.75,68.88,0.9,0.3
ARMA,49.5,68.4,0.88,0.31
MA,51.28,70.2,0.91,0.27
AR,49.67,68.63,0.87,0.3
HWES,55.57,77.05,0.95,0.12
SES,55.57,77.05,0.95,0.12
Yesterdays value,55.81,78.09,0.91,0.1
Naive mean,58.85,82.32,1.07,-0.0
